,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Company,Deal Date,School,Sponsor Count,Name
1606,11700.0,4700.0,6400.0,829.0,Vuori,7/17/22,Creighton Bluejays,2.0,Megan Skovsende
1608,39000.0,4800.0,262.0,2200.0,,7/16/22,Penn State Nittany Lions,,Zane Durant
1619,554000.0,133000.0,889.0,47000.0,The M Den,7/15/22,Michigan Wolverines,5.0,J.J. McCarthy
1622,58000.0,11500.0,52.0,4000.0,,7/15/22,Florida Gators,,Jordan Young
1624,163000.0,12600.0,64.0,4600.0,,7/15/22,Florida Gators,,Montrell Johnson
1630,102000.0,47000.0,81.0,14100.0,,7/15/22,Florida Gators,,Trey Dean
1636,51000.0,12900.0,43000.0,2000.0,,7/15/22,Florida Gators,,Kaleb Boateng
1637,69000.0,10200.0,83000.0,5300.0,,7/15/22,Florida Gators,,Jonathan Odom
1638,67000.0,17000.0,65.0,10900.0,,7/15/22,Florida Gators,,Kamar Wilcoxson
1639,79000.0,27000.0,6500.0,11600.0,,7/15/22,Florida Gators,,Chief Borders
1640,57000.0,8900.0,9700.0,7900.0,,7/15/22,Florida Gators,,Princely Umanmielen
1641,59000.0,11500.0,3.0,4800.0,,7/15/22,Florida Gators,,Jadarrius Perkins
1642,47000.0,1800.0,22.0,1700.0,,7/15/22,Florida Gators,,Justin Pelic
1643,12000.0,5400.0,4500.0,485.0,,7/15/22,UCF Knights,,Taylor Hendricks
1648,34000.0,1300.0,329.0,3800.0,,7/15/22,Nebraska Cornhuskers,,Ru'Quan Buckley
1650,43000.0,2200.0,139.0,2600.0,,7/15/22,Nebraska Cornhuskers,,Koby Bretz
1653,35000.0,2800.0,878.0,3800.0,,7/15/22,Nebraska Cornhuskers,,Brant Banks
1654,34000.0,1200.0,113.0,3200.0,,7/15/22,Nebraska Cornhuskers,,Broc Bando
1655,39000.0,4600.0,6800.0,3100.0,,7/15/22,Penn State Nittany Lions,,Nick Dawkins
1659,64000.0,13200.0,1300.0,13300.0,,7/15/22,Florida Gators,,Derek Wingo
1660,73000.0,21000.0,6200.0,15600.0,,7/15/22,Florida Gators,,Lorenzo Lingard
1661,42000.0,5300.0,1600.0,7400.0,,7/15/22,Florida Gators,,Chris McClellan
1663,65000.0,12400.0,4400.0,17500.0,,7/15/22,Florida Gators,,Diwun Black
1664,169000.0,36000.0,2200.0,26000.0,,7/15/22,Florida Gators,,Gervon Dexter
1667,89000.0,33000.0,18800.0,12100.0,,7/15/22,Florida Gators,,Kamari Wilson
1668,65000.0,15600.0,50.0,10300.0,,7/15/22,Florida Gators,,Keon Zipperer
1672,52000.0,9000.0,997.0,5400.0,,7/15/22,Nebraska Cornhuskers,,Jaeden Gould
1676,47000.0,6000.0,1300.0,2400.0,,7/15/22,Nebraska Cornhuskers,,Tommi Hill
1679,43000.0,2500.0,281.0,3100.0,,7/15/22,Nebraska Cornhuskers,,Ernest Hausmann
1681,54000.0,3100.0,553.0,5800.0,,7/15/22,Nebraska Cornhuskers,,Heinrich Haarberg
1682,45000.0,3500.0,1100.0,5400.0,,7/15/22,Nebraska Cornhuskers,,Blaise Gunnerson
1683,46000.0,4700.0,3100.0,3600.0,,7/15/22,Nebraska Cornhuskers,,Kamonte Grimes
1685,55000.0,12100.0,67.0,4600.0,,7/15/22,Nebraska Cornhuskers,,Marques Buford
1688,49000.0,7500.0,392.0,2700.0,,7/15/22,Nebraska Cornhuskers,,Mikai Gbayor
1690,51000.0,8600.0,283.0,5500.0,,7/15/22,Nebraska Cornhuskers,,Myles Farmer
1692,36000.0,2300.0,154.0,6200.0,,7/15/22,Nebraska Cornhuskers,,Turner Corcoran
1694,43000.0,2000.0,231.0,2500.0,,7/15/22,Nebraska Cornhuskers,,James Carnie
1695,49000.0,6900.0,71.0,4800.0,,7/15/22,Nebraska Cornhuskers,,Jimari Butler
1697,44000.0,2700.0,132.0,3600.0,,7/15/22,Nebraska Cornhuskers,,Mosai Newsom
1705,80000.0,16500.0,3900.0,16000.0,,7/15/22,Nebraska Cornhuskers,,Chubba Purdy
1707,45000.0,4000.0,176.0,2300.0,,7/15/22,Nebraska Cornhuskers,,Noa Pola-Gates
1708,362000.0,23000.0,14300.0,5400.0,,7/15/22,Nebraska Cornhuskers,,Trey Palmer
1710,61000.0,15100.0,12.0,11500.0,,7/15/22,Nebraska Cornhuskers,,Tyreke Johnson
1711,271000.0,11700.0,60.0,10300.0,,7/15/22,Nebraska Cornhuskers,,Garrett Nelson
1716,57000.0,10700.0,508.0,14400.0,,7/15/22,Nebraska Cornhuskers,,Omar Manning
1718,35000.0,2000.0,86.0,4100.0,,7/15/22,Nebraska Cornhuskers,,Henry Lutovsky
1720,44000.0,2600.0,122.0,3800.0,,7/15/22,Nebraska Cornhuskers,,Randolph Kpai
1722,134000.0,7300.0,18.0,4100.0,,7/15/22,Rutgers Scarlet Knights,,Travis Vokolek
1724,55000.0,8500.0,33000.0,7800.0,,7/15/22,Nebraska Cornhuskers,,Jaquez Yant
1725,449000.0,5700.0,520.0,3300.0,Fan Arch,7/15/22,Kansas State Wildcats,3.0,Felix Anudike-Uzomah
1727,25000.0,14800.0,828.0,2000.0,Charlie Hustle,7/15/22,Kansas Jayhawks,11.0,Zach Clemence
1728,40000.0,29000.0,10700.0,1400.0,SaluteLeos,7/15/22,Michigan Wolverines,2.0,Sierra Brooks
1730,35000.0,15400.0,76000.0,1300.0,Monos Travel & Luggage,7/15/22,Florida Gators,1.0,Leah Clapper
1732,89000.0,36000.0,450.0,22000.0,Thompson Rental Services & Sales,7/14/22,South Carolina Gamecocks,1.0,Dakereon Joyner
1733,69000.0,18500.0,1300.0,6300.0,Farmers Bank & Trust,7/14/22,Arkansas Razorbacks,2.0,Landon Jackson
1734,14300.0,120.0,15700.0,1600.0,Blue Linen Boutique,7/14/22,Utah Utes,1.0,Maile O'Keefe
1735,236000.0,8800.0,60000.0,92.0,,7/14/22,Pittsburgh Panthers,,Calijah Kancey
1737,436000.0,137000.0,1700.0,38000.0,,7/13/22,Ohio State Buckeyes,,Jaxon Smith-Njigba
1740,40000.0,3600.0,109.0,2600.0,Mission BBQ,7/13/22,Notre Dame Fighting Irish,14.0,Zeke Correll
1741,40000.0,3400.0,120.0,2500.0,Mission BBQ,7/13/22,Notre Dame Fighting Irish,14.0,Tosh Baker
1742,43000.0,7200.0,162.0,6400.0,Mission BBQ,7/13/22,Notre Dame Fighting Irish,14.0,Rocco Spindler
1747,39000.0,3100.0,61.0,23.0,Mission BBQ,7/13/22,Notre Dame Fighting Irish,14.0,Michael Carmody
1749,39000.0,2600.0,62.0,2400.0,Mission BBQ,7/13/22,Notre Dame Fighting Irish,14.0,Andrew Kristofic
1754,193000.0,180000.0,402000.0,10100.0,Barcode,7/13/22,North Carolina Tar Heels,1.0,Deja Kelly
1755,38000.0,12400.0,120000.0,116.0,,7/13/22,Florida State Seminoles,,Skye Ekes
1758,20000.0,15900.0,873.0,3600.0,Cascadia Public House,7/12/22,Gonzaga Bulldogs,1.0,Dominick Harris
1762,199000.0,241000.0,2100.0,10000.0,Fans Meet Idols,7/12/22,Oklahoma Sooners,15.0,Ragan Smith
1764,14300.0,2500.0,241.0,389.0,,7/12/22,Undecided,,Jordan Brewster
1767,13900.0,1800.0,1700.0,1600.0,,7/11/22,FIU Golden Panthers,,Gaethan Bernadel
1769,503000.0,15000.0,996.0,9200.0,The Players Lounge,7/11/22,Auburn Tigers,4.0,Derick Hall
1770,52000.0,54000.0,28000.0,16400.0,cuts,7/11/22,Syracuse Orange,1.0,Joseph Girard
1772,25000.0,21000.0,4400.0,5500.0,SOLDXOUT,7/10/22,NC State Wolfpack,1.0,Saniya Rivers
